Marca comercial,Ingrediente activo,CT,Unidad
MATCH,LUFENURON,III,Lt
ACROBAT MZ,DIMETOMORF + MANCOZEB,II,Kg
MARSHAL,CARBOSULFAN,II,Lt
ANTIDERIVA MAX,ESTER DE NONILFENOL Y POLIETILENGLICOL,IV,Lt
ACTIVADOR,NONIL FENOL ETOXILADO,IV,Lt
BRYDEN,PROPANIL,III,Lt
KOCIDE WG,HIDROXIDO DE COBRE,III,Kg/Gr
COADYUVANTE OLEOSOL CO,ALQUIL FENOL ETOXILADO,III,Kg/Gr
ASCARISCER FOS-KILL,FOSFURO DE ALUMINIO,Ia,Kg/Gr
LORSBAN 75 WG,CLORPIRIFOS,III,Kg/Gr
PACTO,CLORANSULAM METIL,IV,Kg/Gr
SUMILEX 50 SC,PROCIMIDONE,III,Lt
RIDOMIL GOLD,METALAXIL-M + MANCOZEB,III,Kg/Gr
CRUISER,TIAMETOXAM,III,Kg/Gr
DUAL GOLD,S-METOLACLORO,III,Lt
ACTARA,TIAMETOXAM,IV,Gr
M.S.S. WAREFOG,CLORPROFAM (C.I.P.C.),III,Lt
ADAMA RIMON,NOVALURON,IV,Lt
ABAMECTINA SINER,ABAMECTINA,II,Lt
FERRERO FOSFURO,FOSFURO DE ALUMINIO,Ia,Unidades
NABU-S,SETOXIDIM,IV,Lt
DIPI DISPENSADOR DE INSEC. DE PLATO IND.,D.D.V.P.,Ib,Unidades
PID DISPENSADOR DE FEROMONA PLATO INDUSTRIES,GLANDLURE,III,Unidades
CARVIN 85 S,CARBARIL,II,Kg
RECOP,OXICLORURO DE COBRE,IV,Kg
FERRERO DDVP,D.D.V.P.,Ib,Lt
CUPROMIC,OXICLORURO DE COBRE,III,Kg
APRON GOLD,METALAXIL - M,II,Cm3/Lt
WHAM EZ,PROPANIL,II,Lt
F. ACEITE FUNGUICIDA PARA BANANOS,ACEITE MINERAL,III,Lt
CRUISER 35 FS,TIAMETOXAM,III,Lt
CLARTEX + R TDS J MOLUSQUICIDA,METALDEHIDO,III,Kg
AGRO-MAX,NONIL FENOL ETOXILADO,IV,Lt
LARVIN 80 WG,TIODICARB,II,Kg
PASTA ISAGRO,OXICLORURO DE COBRE,IV,Lt
ADAMA ESSENTIALS VEZIR,IMAZETAPIR ,III,Lt
SILWET L AG,HEPTA METIL TRISILOXANO MODIFICADO,III,Lt
NOMINEE 40 SC,BISPYRIBAC SODIO,IV,Lt
CADRE 70 DG,IMAZAPIC,III,Gr
CUPROCAFFARO,OXICLORURO DE COBRE,IV,Kg
CRUISER 60 FS SEMILLERO,TIAMETOXAM,IV,Lt
INTREPID SC ,METOXIFENOCIDE,IV,Lt
SURPASS EC,ACETOCLOR,IV,Lt
CLINCHER EC,CYHALOFOP BUTIL,III,Lt
NEW MECTIN,ABAMECTINA,II,Lt
VENDAVAL THI-CARB,CARBENDAZIM + TIRAM,III,Cm3/Lt
CARAMBA,METCONAZOLE,III,Lt
FLIER,GLIFOSATO + IMAZETAPIR,III,Lt
ONDUTY,IMAZAPIC + IMAZAPIR,III,Gr
CAMPOMAX N-30,NONIL FENOL ETOXILADO ,III,Lt
CHIPCO CHOICE,FIPRONIL,IV,Kg
SULFATO DE COBRE ROSSI,SULFATO DE COBRE PENTAHIDRATADO,III,Kg
SUCCESS,SPINOSAD,IV,Cm3
REG-SEC IV,NONIL FENOL ETOXILADO,IV,Lt
YARARA  C,CLORPIRIFOS,II,Kg
DUAL C,CLORPIRIFOS,II,Kg
SELECTIVO DC,"2,4-D",III,Lt
MARSHALL 20 SC,CARBOSULFAN,II,Lt
ADAMA ESSENTIALS TOMAHAWK,FLUROXIPIR MEPTIL,III,Lt
ROVRAL TS,IPRODIONE,III,--
AT 1 SILICON,NONIL FENOL ETOXILADO,III,Lt
ARSENAL FORESTAL,IMAZAPIR,IV,Lt
CURYOM,LUFENURON + PROFENOFOS,II,Lt
LI PLUS,LECITINA DE SOJA + ACIDO PROPIONICO + ALCOHOL ETOXILADO,IV,Lt
POTENZA,GLIFOSATO,IV,Lt
RUNNER,METOXIFENOCIDE,IV,Lt
GERMITAN,CARBENDAZIM + TIRAM,III,Lt
MAXIM XL SEMILLERO,METALAXIL-M + FLUDIOXONIL,III,Lt
TOGAN,TEBUTIURON,II,Lt
C. ACEITE COADYUVANTE,ACEITE MINERAL,III,Lt
GRO-STOP BASIS,CLORPROFAM (C.I.P.C.),III,Lt
GRO-STOP FOG,CLORPROFAM (C.I.P.C.),III,Lt
ANCOSAR 96,M.S.M.A.,II,Lt
ADAMA ESSENTIALS LEOPARD LPU,QUIZALOFOP P-ETIL,IV,Lt
RIZOLEX-FLO,TOLCLOFOS METIL,IV,Lt
MYTHOS 30 SC,PYRIMETHANIL,III,Lt
ZARDEX,DIFENOCONAZOLE + CYPROCONAZOLE,IV,Lt
TECTO 50 SC,TIABENDAZOL,IV,Lt
OXIQUYM CU 50,OXICLORURO DE COBRE,III,Kg
ROUNDUP FG,GLIFOSATO,III,Kg
LANCER,ACEFATO,III,Kg
OLIMPO,ABAMECTINA,II,Lt
PREMIS,TRITICONAZOLE,III,Lt
SULFOSATO TOUCHDOWN,GLIFOSATO,IV,Lt
ARTEA,PROPICONAZOLE + CYPROCONAZOLE,III,Lt
FORMIDOR,FIPRONIL,IV,Kg
HALO CIDE LPU,CIPERMETRINA,II,Lt
HALO CIDE PLUS,CIPERMETRINA,II,Lt
LONTREL,CLOPIRALID,II,Lt
PUNTO 7O % WP,IMIDACLOPRID,II,Kg/Gr
ECOPART,PIRAFLUFEN ETIL,III,Lt
YUNTA,IMIDACLOPRID + TEBUCONAZOLE,II,Lt
NASS KELL,ALQUIL FENOL ETOXILADO,IV,Lt
PESTOXIN,FOSFURO DE ALUMINIO,Ia,Kg
ADAMA ESSENTIALS NEMACUR 24 CS,FENAMIFOS,II,Lt
DMA,"2,4-D",III,Lt
GARANTE,GLIFOSATO,III,Lt
AUTHORITY,SULFENTRAZONE,IV,Lt
SPHERE,TRIFLOXISTROBIN + CYPROCONAZOLE,IV,Lt
ALLEGRO,EPOXICONAZOLE + KRESOXIM METIL,IV,Lt
CAURIFIX WG,OXICLORURO DE COBRE,II,Kg
NUFARM MATRERO 35,IMIDACLOPRID,II,Lt
ISHISAN,CARBENDAZIM + TIRAM,III,Lt
ISOMATE M,Z8/E8 DODECENILACETATO,IV,Mg
POWER PLUS ATANOR ,GLIFOSATO,III,Lt
PIVOT,IMAZETAPIR,IV,Lt
TANNER WOOD,ARSENIATO DE COBRE CROMATADO,Ia,Kg
FROWNCIDE,FLUAZINAM,IV,Lt
INSPIRE,BUTAFENACIL,IV,Lt
CLOR P,CLORPIRIFOS,IV,Kg
WAFFEN,CARBENDAZIM + TIRAM,III,Lt
DECIS FORTE 10 EC,DELTAMETRINA,II,Lt
GLIFOALFA ZAMBA,GLIFOSATO,IV,Lt
C. ADYUVANTE 80,ACEITE MINERAL,III,Lt
VITAVAX FLO TS,CARBOXIN + TIRAM,IV,Lt
"2,4 D ZAMBA","2,4-D",II,Lt
MODDUS,TRINEXAPAC ETIL,IV,Lt
ALTIMA,FLUAZINAM,IV,Lt
ADERMAX,ALQUIL FENOL ETOXILADO,IV,Lt
SOWER PLUS,CARBENDAZIM + TIRAM ,III,Lt
SOWER ,TIRAM,IV,Lt
KARATE ZEON 5 CS,LAMBDACIALOTRINA,II,Cm3
MELODY DUO,IPROVALICARB + PROPINEB,IV,Kg
NEOVAP,D.D.V.P.,Ib,Lt
BIAGRO TC SUSPENSION ACUOSA,CARBENDAZIM + TIRAM ,III,Cm3
COADYUVANTE OLEOSOL GL 90,ALQUIL FENOL ETOXILADO,III,Lt
COMMAND 48 EC,CLOMAZONE,II,Lt
CLORPIRIFOS SUMAGRO ,CLORPIRIFOS,II,Lt
NEWOOD LISTO PARA USAR,CIPERMETRINA,IV,Lt
BIOLURE OFM,Z8/E8 DODECENILACETATO,IV,Cebo
SHINCAR,CARBENDAZIM,III,Lt
J.O MAX,DODECIL BENCENO SULFONICO,III,Lt
NEMATHORIN,FOSTIAZATE,Ib,Lt
TIMBERLUX 60,SALES C.C.A.,Ia,Lt
RAK Cp Plus,E8/E10 DODECADIENOL,IV,--
GLIFOSATO 48 AGM,GLIFOSATO,III,Lt
METSULFURON 60 ZAMBA,METSULFURON METIL,IV,Gr
ORION 48 L FORMULAGRO,GLIFOSATO,III,Lt
ENVOKE,TRIFLOXYSULFURON,IV,Gr
COMPASS,DICAMBA,III,Lt
CARZIM 50,CARBENDAZIM,III,Lt
FRUFIX K,ACIDO ALFA NAFTALEN ACETICO,II,Lt
CARBENDAZIM 50 NUFARM,CARBENDAZIM ,IV,Lt
DASTAL RY,CLORPIRIFOS,IV,Lt
GLIFOSATO 48 SEM,GLIFOSATO,III,Lt
EQUIP WG,FORAMSULFURON + IODOSULFURON METIL SODIO,IV,Kg
KARMEX WG,DIURON,IV,Kg
ATRAZINA ZAMBA,ATRAZINA,III,Lt
METAREX BB,METALDEHIDO,III,Kg
SHERMAN PLUS,CIPERMETRINA + CLORPIRIFOS,II,Lt
FORDOR,ISOXAFLUTOLE,III,Lt
POR FIN,TIERRA DE DIATOMEA,IV,Gr/Kg
CURENOX 50 WP,OXICLORURO DE COBRE,II,Kg
ACEHERO,ACEFATO,III,Kg
ADAMA ESSENTIALS SOPRANO C,CARBENDAZIM + EPOXICONAZOLE ,III,Lt
TOPIK 24 EC,CLODINAFOP-PROPARGIL + CLOQUINTOCET MEXIL,III,Lt
TRIDEF,FLUOMETURON + PROMETRINA,III,Lt
ADAMA ESSENTIALS LEGACY,DIFLUFENICAN,III,Lt
PROFIT 40 CE,ZETAMETRINA,II,Lt
SHARK 40 EC,CARFENTRAZONE ETHYL,III,Lt
CALYPSO 48 SC,TIACLOPRID,II,Lt
CLORPIRIFOS AGM,CLORPIRIFOS,II,Lt
OXICLORURO DE COBRE 50 VALLES,OXICLORURO DE COBRE,II,Kg
SOWER MASTER,CARBENDAZIM,III,Lt
DAARGUS,GLIFOSATO,III,Lt
"2,4D TERRIUM","2,4-D",II,Lt
CONSARG,CARBENDAZIM + TIRAM,II,Lt
COMPLEX,MANCOZEB,IV,Kg
COMET,PYRACLOSTROBIN,II,Lt
CARBENDAZIM 50 AGM,CARBENDAZIM,III,Lt
BAFOX,D.D.V.P.,Ib,Lt
MADECOR PROTECT 3 EN 1,CIPERMETRINA + T.C.M.T.B.,IV,Lt
POLYRAM DF,METIRAM,III,Kg
RAK Cp,E8/E10 DODECADIENOL,IV,Dispensers
X TRIM,NONIL FENOL ETOXILADO,III,Lt
CHINGON 60,IMIDACLOPRID,II,Lt
SEVIN XLR PLUS,CARBARIL,II,Lt
I. NEW CH-RI,ACEITE MINERAL,III,Lt
CAPTAN ANDO,CAPTAN,IV,Kg
ATRAMARK 50 FL,ATRAZINA,III,Lt
CIPERMETRINA CONTROLER,CIPERMETRINA,II,Lt
EKAMET,ABAMECTINA,II,Lt
NITRUR B.T.K.L. ULTRAMAX,BACILLUS THURINGIENSIS VAR. KURSTAKI,IV,Lt
HALO CIDE NATURAL,CIPERMETRINA,IV,Lt
FLOWSAN FS,TIRAM,II,Lt
ATRA GLEX,ATRAZINA,III,Lt
CLORPIRIFOS ZAMBA,CLORPIRIFOS,II,Lt
DUOPACK,TIRAM,III,Lt
REDPOINT,ETER NONIL FENOL Y POLIETILENGLICOL,IV,Lt
VITAVAX FLO SEMILLERO,CARBOXIN + TIRAM,IV,Lt
COTACUATRO CLAVEL,SULFATO DE COBRE PENTAHIDRATADO,III,Cm3/Lt
MIREX GLEX,SULFLURAMIDA,III,Kg
GLACOXAN E,CLORPIRIFOS + CIPERMETRINA,III,Lt
LEROSATO,GLIFOSATO,III,Lt
RUTEL,METALAXIL M,II,Lt
RALLY,MYCLOBUTANIL,II,Lt
NOXION,METALAXIL M,II,Lt
CALDO BORDELES FANAPROQUI,CALDO BORDELES (SULFATO DE COBRE ANHIDRO) + CAL,II,Kg
SCOUT XTRA,LECITINA DE SOJA + ACIDO PROPIONICO,IV,Lt
TOPGAN 70 WG,IMAZAQUIN,IV,Gr
VEZIR 70 WG,IMAZETAPIR,IV,Gr
CIPERMETRINA LQ 25,CIPERMETRINA,II,Lt
SIPCAPRIN,PROMETRINA,III,Lt
NORDOX 75 WG,OXIDO CUPROSO,III,Kg
COADYUVANTE NOMINEE,ALCOHOL ALCOXILADO,IV,Lt
GLIFOWEED 48,GLIFOSATO,III,Lt
AURA,PROFOXIDIM,IV,Lt
CONFIDOR 70 WG,IMIDACLOPRID,II,Gr
SURROUND,CAOLINITA,IV,Kg
ACETOCLOR LA TIJERETA,ACETOCLOR,III,Lt
CHESS 50 WG,PYMETROZINE,IV,Gr/Kg
PRODINCARB 50,CARBENDAZIM,III,Lt
MIFOS,GLIFOSATO,IV,Lt
CURASEMILLAS NOVA,CARBENDAZIM + TIRAM,III,Lt
CLARTEX BB,CARBARIL,II,Kg
BACTHUR LIQUIDO,BACILLUS THURINGIENSIS VAR. KURSTAKI,IV,Lt
ARCHER PLUS,GAMMA CIALOTRINA,III,Lt
MOLUSQUICIDA ACAY,METALDEHIDO,IV,Kg
FOSPRO 48,CLORPIRIFOS,II,Lt
OXICLORURO 84 SALDECO,OXICLORURO DE COBRE,II,Kg
GLYFOGEN ,GLIFOSATO,III,Lt
ARACARB 50,CARBENDAZIM,IV,Lt
ECO TREAT,ACEITE VEGETAL DE SOJA,IV,Lt
FINN,BRODIFACOUM,Ia,Gr/Kg
CHECK MATE CM-F,DODECADIENOL,IV,Lt
CHECK MATE OFM-F,Z8/E8 DODECENILACETATO ,IV,Lt
BROTAL GOLD,FLUMETRALIN,IV,Lt
LUTAR 36 EC,BUTRALIN,IV,Lt
TOPSEED,METIL TIOFANATO + TIRAM,II,Lt
FLORAMITE,BIFENAZATE,IV,Kg
ROUNDUP FLY,GLIFOSATO,IV,Lt
CAMPOMAX S,NONIL FENOL ETOXILADO,III,Lt
"2,4DB ZAMBA","2,4-DB",II,Lt
"2,4D AMINA ZAMBA","2,4-D ",III,Lt
HUAGRO BABOTOX,METALDEHIDO,III,Lt
FIGHTER PLUS,GAMMA CIALOTRINA,III,Lt
ARACIPER 25,CIPERMETRINA,II,Lt
AKBAR 30 WP,PROPARGITE,IV,Kg
RITIRAM CARB PLUS,CARBENDAZIM + TIRAM,II,Lt
DITHANE NT,MANCOZEB,IV,Kg
DISTRIQUAT,PARAQUAT,II,Lt
CADDET,ACEITE MINERAL,IV,Lt
CURASEMILLAS PALAVERSICH SUPERPLUS,CARBENDAZIM + TIRAM,III,Lt
GESAPRIM 50 FW A,ATRAZINA,II,Lt
FLOW SYSTEMIC GRANERO,CARBENDAZIM + TIRAM,III,Lt
GERMITAN GRANERO,CARBENDAZIM + TIRAM,III,Lt
CARBENDAZIM 50 SINER,CARBENDAZIM,III,Lt
ACRAMITE 50 WP,BIFENAZATE,IV,Kg
TOPSIN 70 PM,METIL TIOFANATO ,IV,Kg
ADAMA ESSENTIALS AMETREX 80 WG,AMETRINA,IV,Kg
OPERA,PYRACLOSTROBIN + EPOXICONAZOLE,II,Kg
FUVOS PLUS,D.D.V.P. + DELTAMETRINA,Ib,Lt
DELTAGRAN ,D.D.V.P. + DELTAMETRINA,Ib,Lt
CARPOVIRUS PLUS,VIRUS DE LA GRANULOSIS DE CYDIA POMONELLA,IV,ml
SMARTFRESH TM TECHNOLOGY,METILCICLOPROPENO,IV,Gr
NITRAP TC CURASEMILLAS,CARBENDAZIM + TIRAM,III,Lt
CALLISTO,MESOTRIONE,IV,--
DESAB TC CURASEMILLAS,CARBENDAZIM + TIRAM,III,Lt
ADAMA ESSENTIALS ATRANEX 90 WG,ATRAZINA,IV,Kg
MEXTROL,BROMOXINIL,II,Lt
DELTEC,DELTAMETRINA,II,ml
BAUNDAP FG,GLIFOSATO,III,Kg
BAUNDAP PREMIUM,GLIFOSATO,III,Kg
XENOR,TRIADIMEFON,III,Lt
BROM-O-GAS 100,BROMURO DE METILO,Ia,Kg
FLINT 50 WG,TRIFLOXISTROBIN,III,Kg
HUAGRO HORMIX,CLORPIRIFOS,III,Kg
"FAST 1,8 ",ABAMECTINA,II,Lt
CIPERMETRINA ACA,CIPERMETRINA,II,Lt
ATRAZINA BIESTERFELD,ATRAZINA,III,Lt
GLIFOFANT 48,GLIFOSATO,III,Lt
I. NEW CH-CFI,ACEITE MINERAL,III,Lt
C. NEW CH-COA,ACEITE MINERAL,III,Lt
GLIFOSATO JNG,GLIFOSATO,III,Lt
CARBENDAZIM 50 NITRAP,CARBENDAZIM,III,Lt
AZIERTO PLUS,IMAZALIL,III,Lt
FOSATO,GLIFOSATO,IV,Lt
FPC TICAR,CARBENDAZIM + TIRAM,III,Lt
FLOSIL,FOMESAFEN,III,Lt
TIRCARB,CARBENDAZIM + TIRAM,IV,Lt
VONDOZEB,MANCOZEB,IV,Kg
SIPCAZIN,SIMAZINA,IV,Kg
GENIUS,ATRAZINA,IV,Kg
FLOW THIN PLUS,CARBENDAZIM + TIRAM,III,Lt
FLORANE ACA 25,FLUROCLORIDONA,III,Lt
AMISTAR XTRA,AZOXISTROBINA + CYPROCONAZOLE,II,Lt
SIMANEX 90 WG,SIMAZINA,IV,Kg
ATRAZINA 50 AGM,ATRAZINA,III,Lt
CARBENDAZIM 50 ACA,CARBENDAZIM,III,Lt
EXTRAZIN,ATRAZINA + SIMAZINA,III,Kg
QUINTEC,QUINOXYFEN,III,Lt
ARMETIL M,METALAXIL + MANCOZEB,III,Kg
TOLAN,DICAMBA,IV,Lt
INFOSATO 48,GLIFOSATO,III,Lt
NAVAJO,"2,4-D",II,Kg
DINAMAZ,IMAZETAPIR,IV,Lt
SNIPER TM,GLIFOSATO,IV,Lt
DAARGUS ATRAZINA,ATRAZINA,III,Lt
"2,4D AGM","2,4-D",II,Lt
ARAZINA 50,ATRAZINA,III,Lt
CURASEMILLAS MIRKA,CARBENDAZIM + TIRAM,III,Lt
ANTIDERIVA J.O MAX,DODECIL BENCENO SULFONATO DE SODIO,III,Lt
ITALTERB,TERBUTILAZINA,II,Kg
CLEARSOL,IMAZAPIR,IV,--
ATRASEM 50,ATRAZINA,III,Lt
HERBIFEN NV,"2,4-D MEZCLA SALES AMINAS DEL ACIDO ",II,Lt
CLORPIRIFOS 48 QZ,CLORPIRIFOS,II,Lt
NOVEL,PROPICONAZOLE,III,Lt
PRODUCE,S-METOLACLORO,III,Lt
I. CURAFRUTAL HV,ACEITE MINERAL,III,Lt
I. CURAFRUTAL LV,ACEITE MINERAL,III,Lt
"2,4D AMINA DVA","2,4-D",II,Lt
ECHO 72,CLOROTALONIL,III,Lt
FULLBACK PM,CLORPIRIFOS,II,Kg
ACADEMIX,"2,4-D",II,Lt
CUPRAFOR,OXICLORURO DE COBRE,II,Kg
TENSIOWETT,NONIL FENOL ETOXILADO,IV,Lt
WINER,NONIL FENOL ETOXILADO,III,Lt
TANNER WOOD CCA c,ARSENIATO DE COBRE CROMATADO,II,Lt
DICAMAX ACA 58,DICAMBA,III,Lt
DECIS FLOW 20 SC,DELTAMETRINA,IV,Lt
"2,4D AMINA AGM","2,4-D",II,Lt
ACTIVATOR,ALCOHOL ETOXILADO,III,Lt
TACTIC,ALCOHOL ETOXILADO,IV,Lt
BOND,ALCOHOL ETOXILADO,IV,Lt
CURAZIM,CARBENDAZIM + TIRAM,III,Lt
FLUMIREX,SULFLURAMIDA,IV,Gr
CURASEMILLA PALAVERSICH SUPER FORTE,CARBENDAZIM + TIRAM,IV,Lt
GLIVYC,GLIFOSATO ,III,Lt
OPTIMIZER,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITES VEGETALES,III,Lt
ADAMA ESSENTIALS TERBUTREX 80 WG,TERBUTRINA,IV,Lt
MAZORCA,ATRAZINA,III,Lt
GLIFOQUIM,GLIFOSATO ,III,Lt
CHOICE,SULFATO DE AMONIO,IV,Lt
ORIUS 43 SC,TEBUCONAZOLE,IV,Lt
KALIBRE 25,CIPERMETRINA,IV,Lt
NUTRIWATER,NONIL FENOL ETOXILADO,IV,Lt
OXI-CUP WG,OXICLORURO DE COBRE,III,Kg
AFFINITY,CARFENTRAZONE ETHYL,III,Lt
FULLMIK,CARBENDAZIM + TIRAM,III,Lt
TERMINATOR AGROS,CLORPIRIFOS,II,Lt
BORAZ 48,CLORPIRIFOS,II,Lt
CREDIT,GLIFOSATO,IV,Lt
FLOW THIN 50,CARBENDAZIM,III,Lt
CLORPIRIFOS LQ 48 ,CLORPIRIFOS,II,Lt
AF PLUS,NONIL FENOL ETOXILADO,IV,Lt
TRICIDE EM,T.C.M.T.B.,II,Lt
VENIER EXTERIOR LISTO PARA USAR,CIPERMETRINA + T.C.M.T.B.,III,Lt
MAGNUM AGROS,GLIFOSATO ,III,Lt
ROUNDUP FULL II,GLIFOSATO ,IV,Lt
FUNGAFLOR 75 SP,IMAZALIL,II,Gr
IMIDAN 70,FOSMET,II,Kg
DAARGUSCARBEN,CARBENDAZIM,III,Lt
PRODINPLUS,NONIL FENOL ETOXILADO,III,Lt
NIMBUS,ACEITE MINERAL PARAFINICO,III,Lt
F-GAS,FOSFINA,Ia,Kg
"SWITCH 62,5 WG",CYPRODINIL + FLUDIOXONIL,IV,Kg
CURASEMILLAS LQ CONCENTRADO,CARBENDAZIM + TIRAM,III,--
DOMARK 10,TETRACONAZOLE,II,Lt
BULLET GYB,NONIL FENOL ETOXILADO,IV,Lt
CEBU SR,NONIL FENOL ETOXILADO,IV,Lt
ABRIDOR,TIDIAZURON,IV,Kg
GLIFOSATO INDUSTRIAL,GLIFOSATO,III,Lt
ATRAZINA PRODINSA,ATRAZINA,IV,Lt
ARAPIRIFOS 48 ,CLORPIRIFOS,Ib,Lt
DDVP 100 CH,D.D.V.P.,Ib,Lt
DAARGUSCIPER,CIPERMETRINA,II,Lt
IPERLATE,BENOMIL,IV,Kg
TICARB 10+10 AGM,T.M.T.D.+ CARBENDAZIM,III,Lt
APRON GOLD SEMILLERO,METALAXIL M,II,Lt
DDVP 100 QZ,D.D.V.P.,Ib,Lt
BAFOX EXTRA,D.D.V.P. + PERMETRINA,Ib,Lt
ROUNDUP MAX II,GLIFOSATO,III,Kg
POLADO II,GLIFOSATO,IV,Lt
CERKO,MANCOZEB,III,Kg
NUFARM NUFURON,METSULFURON METIL,IV,Gr
ASI MAX 50,"2,4-D EQUIVALENTE ACIDO",II,Lt
ASI MAX 72,"2,4-D EQUIVALENTE ACIDO",II,Lt
CURASEMILLAS DOBLE,CARBENDAZIM + TIRAM,III,Lt
DELBUX,DELTAMETRINA,III,Lt
EXTRA TACKLE,DELTAMETRINA,II,Lt
CARBENDAZIM 50 FORMULAGRO,CARBENDAZIM,III,Lt
MOHOCIDA,TIRAM,II,Lt
"ABAMECTIN 1,8 EC",ABAMECTINA,II,Lt
CALDO BORDELES VALLES,SULFATO TETRACUPRICO TRICALCICO,III,Kg
POTENT-K,NONIL FENOL ETOXILADO,III,Lt
CIPERQUIM 25,CIPERMETRINA,II,Lt
EFIMAX CARBENDAZIM + THIRAM,CARBENDAZIM + TIRAM,III,Lt
CARBENDAZIM 50 MIRKA,CARBENDAZIM,IV,Lt
RECAMBA,DICAMBA,III,Lt
MAGIC POWER,NONIL FENOL ETOXILADO,III,Lt
VIRA RED,NONIL FENOL ETOXILADO,III,Lt
KEEP,NONIL FENOL ETOXILADO,III,Lt
HUAGRO HORMIX LIQUIDO A,CLORPIRIFOS,III,Lt
AZIMUT,FOSETIL ALUMINIO,III,Kg
SOWER MAX,DINICONAZOLE + TIRAM,III,Lt
FULL ADYUVANT,NONIL FENOL ETOXILADO,III,Lt
INDUCARB 50,CARBENDAZIM,III,Lt
SULFA MIREX - S,SULFLURAMIDA,III,Kg
PICLORAN 24 STOCKTON,PICLORAM,IV,Lt
VENDAVAL GLIFOSATO 48 L,GLIFOSATO,III,Lt
RICER,PENOXULAM,IV,Lt
VENDAVAL CLORPIRIFOS 48 E,CLORPIRIFOS,II,Lt
PELICAN,DIFLUFENICAN,III,Lt
FLIPPER,SPINOSAD,IV,Gal.
TRIGAL,TEBUCONAZOLE,IV,Lt
24D AMINA BIESTERFELD,"2,4-D",II,Lt
24D ESTER BIESTERFELD,"2,4-D",II,Lt
CLORPIRIFOS 48 NITRAP,CLORPIRIFOS,II,Lt
CIPERMETRINA 25 NITRAP,CIPERMETRINA,II,Lt
ARMETIL COBRE,METALAXIL + OXICLORURO DE COBRE,III,Gr/Kg
BUCANER 43 FW,TEBUCONAZOLE,III,Lt
CONTROLER,GLIFOSATO,III,Lt
TERSUAVE CONCENTRADO,CIPERMETRINA + T.C.M.T.B.,IV,Lt
TERSUAVE LISTO PARA USAR,CIPERMETRINA + T.C.M.T.B.,III,Lt
BENOMIL 50 DVA,BENOMIL,II,Kg
LX CONTROL,NONIL FENOL ETOXILADO,III,Lt
TWISTER RAIN,NONIL FENOL ETOXILADO,III,Lt
ISHIGLIFOSATO,GLIFOSATO,III,Lt
HIDROXISUPER,HIDROXIDO DE COBRE,II,Kg
HYDRALENE AGK,OLEATO DE POTASIO,III,Lt
"FACILY 1,8",ABAMECTINA,II,Lt
CARBENDAZIM 50 NITRASOIL,CARBENDAZIM,III,Lt
EFECTHOR D PLUS,CARBENDAZIM + TIRAM,III,Lt
MANCOZEB BIESTERFELD,MANCOZEB,II,Kg
MAXIGLIF,GLIFOSATO,III,Lt
NITRO FIX TC 15+35,CARBENDAZIM + TIRAM,IV,Lt
CARB-OK 50,CARBENDAZIM,IV,Lt
TELDOR 50 WP,FENHEXAMID ,IV,Lt
"IMPACT 12,5",FLUTRIAFOL,IV,Lt
COBRE ESTABLE SL,SULFATO DE COBRE PENTAHIDRATADO,III,Lt
APRON MAXX RFC,FLUDIOXONIL + METALAXIL M,IV,Lt
DYNASTY CST SEMILLERO,AZOXISTROBINA + METALAXIL M + FLUDIOXONIL,IV,Lt
ACONDICONADOR ACTIVATE PLUS,NONIL FENOL ETOXILADO,III,Lt
ABAMEC,ABAMECTINA,II,Cm3/Lt
TRIGALGO,TEBUCONAZOLE,IV,Lt
CARSIS,CARBENDAZIM,III,--
ZERO ,LAMBDACIALOTRINA,II,Lt
NUFARM MANCOZEB 80,MANCOZEB,III,Kg
SISTEMAX ACA,LECITINA DE SOJA + ACIDO PROPIONICO,IV,Lt
FINESSE,CLORSULFURON + METSULFURON METIL,IV,Gr
MOSPILAN ST,ACETAMIPRID,II,Gr
ROTOR,TRIADIMEFON,II,Lt
DRI,ACEITE MINERAL REFINADO PARAFINICO ,IV,Lt
DRV,ACEITE MINERAL REFINADO PARAFINICO ,IV,Lt
FLOW THIN II AGROS,CARBENDAZIM + TIRAM,III,Lt
DEDEPOST PLUS,D.D.V.P. + DELTAMETRINA,Ib,Lt
KIFIX,IMAZAPIR + IMAZAPIC,II,Gr
NOSTOC,NICOSULFURON,IV,Gr
ECTRAN,BISPYRIBAC SODIO,III,Lt
LISI,QUINCLORAC,IV,Lt
GIBERELINA KA LIQUIDO,ACIDO GIBERELICO,IV,Cm3/Lt
HALO CIDE NATURAL CONC.,CIPERMETRINA,II,Lt
OXI-CUP WP,OXICLORURO DE COBRE EQUIVALENTE COBRE METALICO,III,Kg
GEM,PROPICONAZOLE + DIFENOCONAZOLE,III,Lt
DIRETH NORMAL PLUS,CLORPIRIFOS + CIPERMETRINA + T.C.M.T.B.,IV,Lt
SERENADE WP,BACILLUS SUBTILIS QST,IV,Kg
OL,PROPANIL,II,Lt
VETRA,ATRAZINA,IV,Lt
CELEST,FLUDIOXONIL,IV,Lt
N-FIXER FULL,CARBENDAZIM + TIRAM,IV,Lt
CIPERFAV 25,CIPERMETRINA,II,Lt
CLORPIRIFAV 48,CLORPIRIFOS,II,Lt
MATA BIBOS ACAY,CARBARIL,III,Kg
